, Instance, ogm-ICM, ogm-LBP-LF1, ogm-LBP-LF2, ogm-LF-1, ogm-LF-2, ogm-LF-3, ogm-TRWS-LF1, ogm-TRWS-LF2, BPS-TAB, ogm-BPS, ogm-LBP-0.5, ogm-LBP-0.95, ogm-TRBP-0.5, ogm-TRBP-0.95, ogm-TRBPS, ADDD, MPLP, MPLP-C, ogm-ADSAL, ogm-BUNDLE-A, ogm-BUNDLE-H, ogm-SG-A, ogm-BUNDLE-A+, ogm-SG-A+, ogm-BUNDLE-A-, ogm-SG-A-, TRWS-TAB, BRAOBB-1, BRAOBB-2, BRAOBB-3, ogm-CombiLP
1CKK, value, -11804.03, -12712.41, -12712.41, -11804.03, -12360.49, -12360.49, -12668.02, -12712.41, -12703.47, -10680.22, -12712.41, -12605.41, -12618.21, -11196.59, -10931.23, -9853.30, -11870.42, -12325.59, -12669.84, -11829.88, -11654.62, -11231.26, -11774.67, -11866.27, -11039.46, -10920.07, -12641.64, NaN, NaN, NaN, -12712.41
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -12903.50, -12903.50, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -21410.68, -12890.23, -12739.36, -12856.13, -13658.53, -13458.79, -14552.55, -13430.16, -13657.15, -15042.15, -16972.64, -12903.50, NaN, NaN, NaN, -12712.41
, memory, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.50 GB, 0.35 GB, 7.03 GB, 0.32 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, NaN GB, NaN GB, NaN GB, 14.23 GB
, memory, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.47 GB, 0.34 GB, 7.68 GB, 0.30 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, NaN GB, NaN GB, NaN GB, 13.62 GB
, runtime, 0.09, 13.25, 38.13, 0.04, 70.35, 43618.72, 33.09, 56.76, 35.29, 4.44, 15.20, 5.94, 193.07, 194.18, 191.32, 307.08, 1095.95, 4093.77, 673.13, 398.79, 342.25, 388.08, 343.50, 388.38, 361.50, 386.74, 32.96, NaN, NaN, NaN, 531.17
2O60, value, -12611.10, -13330.53, -13359.76, -12611.10, -12958.27, -13075.57, -13354.50, -13472.43, -13358.30, -13349.56, -13308.88, -13468.76, -13206.02, -12101.50, -12680.97, -8846.64, -13202.88, -13072.59, -12543.64, -12505.49, -12931.42, -11972.67, -12346.87, -12069.17, -11988.45, -10910.00, -13344.91, NaN, NaN, NaN, -13472.43
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -13584.50, -13584.50, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -23293.45, -13560.03, -13506.60, -15777.39, -14589.83, -14435.04, -14993.87, -14385.62, -14864.17, -15451.02, -16530.74, -13584.50, NaN, NaN, NaN, -13472.43
, memory, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.19 GB, 0.19 GB, 0.19 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.64 GB, 0.47 GB, 7.44 GB, 0.39 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.18 GB, 0.19 GB, NaN GB, NaN GB, NaN GB, 18.50 GB
, runtime, 0.11, 262.03, 329.04, 0.05, 113.47, 42989.78, 47.40, 117.12, 44.33, 298.69, 279.90, 272.05, 259.74, 258.84, 255.75, 479.01, 1633.83, 3807.39, 8166.27, 1144.23, 1171.82, 1084.92, 1215.09, 1078.85, 1093.98, 1108.94, 45.22, NaN, NaN, NaN, 541.66
3BXL, value, -13426.24, -14101.32, -14101.32, -13426.24, -14008.44, -14039.66, -13901.96, -13929.34, -14101.32, -14101.32, -14101.32, -14101.32, -14101.32, -14101.32, -14101.32, -11431.64, -13868.56, -14101.32, -14101.32, -13385.44, -13363.69, -12882.95, -13355.44, -13637.44, -12907.60, -11580.40, -13896.35, NaN, NaN, NaN, -14101.32
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -14136.64, -14136.64, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -21590.58, -14126.11, -14101.32, -14128.05, -14913.34, -14738.66, -15406.71, -14697.54, -14592.75, -16105.82, -17266.91, -14136.64, NaN, NaN, NaN, -14101.32
, memory, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.57 GB, 0.41 GB, 3.34 GB, 0.36 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, 0.17 GB, NaN GB, NaN GB, NaN GB, 16.66 GB
, runtime, 0.09, 19.41, 49.01, 0.05, 131.96, 56780.03, 38.45, 101.55, 38.58, 8.53, 20.49, 6.62, 234.55, 196.52, 159.76, 393.96, 473.71, 1031.86, 801.33, 825.94, 834.77, 861.07, 842.78, 793.98, 863.38, 809.02, 38.39, NaN, NaN, NaN, 421.12
