file: easy/instances/neos-780889/instances/0.lp                   , LP obj:  920060.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:  920058.735, Percent BDD LB gap: 0.000, Num cons: 418, Num BDD layers: 14224
file: easy/instances/supportcase29/instances/0.lp                 , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 241, Num BDD layers: 961
file: easy/instances/supportcase29/instances/1.lp                 , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 241, Num BDD layers: 961
file: easy/instances/supportcase29/instances/2.lp                 , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 241, Num BDD layers: 961
file: easy/instances/neos-956971_renameddup/instances/0.lp        , LP obj:     -10.958, ILP obj: nan, Percent rel. gap: nan, BDD LB:    -114.739, Percent BDD LB gap: 947.096, Num cons: 270, Num BDD layers: 8067
file: easy/instances/supportcase4/instances/0.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 2349, Num BDD layers: 14661
file: easy/instances/academictimetablesmall/instances/0.lp        , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1194, Num BDD layers: 9091
file: easy/instances/academictimetablesmall/instances/1.lp        , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1182, Num BDD layers: 21906
file: easy/instances/academictimetablesmall/instances/2.lp        , LP obj:      -1.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:      -1.000, Percent BDD LB gap: -0.000, Num cons: 1138, Num BDD layers: 20331
file: easy/instances/academictimetablesmall/instances/3.lp        , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1106, Num BDD layers: 20602
file: easy/instances/neos-5129192-manaia/instances/0.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 12, Num BDD layers: 90
file: easy/instances/app2-2/instances/0.lp                        , LP obj:  212040.357, ILP obj: nan, Percent rel. gap: nan, BDD LB:  212031.896, Percent BDD LB gap: 0.004, Num cons: 2770, Num BDD layers: 46104
file: easy/instances/cvs16r89-60/instances/0.lp                   , LP obj:     -84.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:     -84.793, Percent BDD LB gap: 0.944, Num cons: 2316, Num BDD layers: 8592
file: easy/instances/iis-hc-cov/instances/0.lp                    , LP obj:       6.863, ILP obj: nan, Percent rel. gap: nan, BDD LB:       4.499, Percent BDD LB gap: 34.451, Num cons: 2458, Num BDD layers: 38423
file: easy/instances/iis-hc-cov/instances/1.lp                    , LP obj:       7.065, ILP obj: nan, Percent rel. gap: nan, BDD LB:       4.637, Percent BDD LB gap: 34.365, Num cons: 2455, Num BDD layers: 38372
file: easy/instances/neos-831188/instances/0.lp                   , LP obj:       1.768, ILP obj: nan, Percent rel. gap: nan, BDD LB:       1.233, Percent BDD LB gap: 30.267, Num cons: 2153, Num BDD layers: 13357
file: easy/instances/opm2-z6-s1/instances/0.lp                    , LP obj:  -37339.130, ILP obj: nan, Percent rel. gap: nan, BDD LB:  -37458.671, Percent BDD LB gap: 0.320, Num cons: 9588, Num BDD layers: 112703
file: easy/instances/opm2-z6-s1/instances/1.lp                    , LP obj:  -37163.912, ILP obj: nan, Percent rel. gap: nan, BDD LB:  -37296.896, Percent BDD LB gap: 0.358, Num cons: 9634, Num BDD layers: 113193
file: easy/instances/vpphard2/instances/0.lp                      , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 2428, Num BDD layers: 16815
file: easy/instances/vpphard2/instances/1.lp                      , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 2360, Num BDD layers: 15970
file: easy/instances/vpphard2/instances/2.lp                      , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 498, Num BDD layers: 3240
file: easy/instances/chromaticindex256-8/instances/0.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 7, Num BDD layers: 31
file: easy/instances/chromaticindex256-8/instances/1.lp           , LP obj:       2.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       2.000, Percent BDD LB gap: 0.000, Num cons: 11, Num BDD layers: 47
file: easy/instances/opm2-z8-s0/instances/0.lp                    , LP obj: -115679.989, ILP obj: nan, Percent rel. gap: nan, BDD LB: -115722.638, Percent BDD LB gap: 0.037, Num cons: 17425, Num BDD layers: 226802
file: easy/instances/opm2-z8-s0/instances/1.lp                    , LP obj: -115834.583, ILP obj: nan, Percent rel. gap: nan, BDD LB: -115885.210, Percent BDD LB gap: 0.044, Num cons: 17391, Num BDD layers: 226414
file: easy/instances/opm2-z8-s0/instances/2.lp                    , LP obj: -116277.562, ILP obj: nan, Percent rel. gap: nan, BDD LB: -116330.535, Percent BDD LB gap: 0.046, Num cons: 17397, Num BDD layers: 226444
file: easy/instances/opm2-z8-s0/instances/3.lp                    , LP obj: -116372.165, ILP obj: nan, Percent rel. gap: nan, BDD LB: -116426.259, Percent BDD LB gap: 0.046, Num cons: 17349, Num BDD layers: 225978
file: easy/instances/opm2-z8-s0/instances/4.lp                    , LP obj: -116418.716, ILP obj: nan, Percent rel. gap: nan, BDD LB: -116465.765, Percent BDD LB gap: 0.040, Num cons: 17326, Num BDD layers: 225759
file: easy/instances/opm2-z8-s0/instances/5.lp                    , LP obj: -115831.821, ILP obj: nan, Percent rel. gap: nan, BDD LB: -115887.678, Percent BDD LB gap: 0.048, Num cons: 17384, Num BDD layers: 226351
file: easy/instances/neos-3988577-wolgan/instances/0.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 29, Num BDD layers: 213
file: easy/instances/neos-3988577-wolgan/instances/1.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 17, Num BDD layers: 147
file: easy/instances/neos-3988577-wolgan/instances/2.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 27, Num BDD layers: 247
file: easy/instances/neos-3988577-wolgan/instances/3.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 22, Num BDD layers: 182
file: easy/instances/neos-3988577-wolgan/instances/4.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 26, Num BDD layers: 229
file: easy/instances/neos-3988577-wolgan/instances/5.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 22, Num BDD layers: 198
file: easy/instances/neos-3988577-wolgan/instances/6.lp           , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 22, Num BDD layers: 198
file: easy/instances/iis-glass-cov/instances/0.lp                 , LP obj:      10.686, ILP obj: nan, Percent rel. gap: nan, BDD LB:       8.276, Percent BDD LB gap: 22.554, Num cons: 2500, Num BDD layers: 28842
file: easy/instances/iis-glass-cov/instances/1.lp                 , LP obj:      10.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       7.745, Percent BDD LB gap: 22.550, Num cons: 2500, Num BDD layers: 28599
file: easy/instances/neos-957143/instances/0.lp                   , LP obj:     -37.916, ILP obj: nan, Percent rel. gap: nan, BDD LB:    -120.040, Percent BDD LB gap: 216.599, Num cons: 330, Num BDD layers: 16840
file: easy/instances/supportcase14/instances/0.lp                 , LP obj:      71.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:      68.575, Percent BDD LB gap: 3.415, Num cons: 55, Num BDD layers: 532
file: easy/instances/mitre/instances/0.lp                         , LP obj:  120660.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:  111906.473, Percent BDD LB gap: 7.255, Num cons: 1132, Num BDD layers: 16312
file: easy/instances/neos-633273/instances/0.lp                   , LP obj: -314002024.884, ILP obj: nan, Percent rel. gap: nan, BDD LB: -314002039.717, Percent BDD LB gap: 0.000, Num cons: 21, Num BDD layers: 101
file: easy/instances/air05/instances/0.lp                         , LP obj:   24596.609, ILP obj: nan, Percent rel. gap: nan, BDD LB:   21800.238, Percent BDD LB gap: 11.369, Num cons: 338, Num BDD layers: 36575
file: easy/instances/seymour/instances/0.lp                       , LP obj:      86.426, ILP obj: nan, Percent rel. gap: nan, BDD LB:      77.206, Percent BDD LB gap: 10.668, Num cons: 1825, Num BDD layers: 14376
file: easy/instances/neos-3148108-pahi/instances/0.lp             , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1723, Num BDD layers: 13245
file: easy/instances/neos-3148108-pahi/instances/1.lp             , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1757, Num BDD layers: 13183
file: easy/instances/cvs16r70-62/instances/0.lp                   , LP obj:     -55.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:     -57.812, Percent BDD LB gap: 5.113, Num cons: 2273, Num BDD layers: 8125
file: easy/instances/ab51-40-100/instances/0.lp                   , LP obj: -22014011305.000, ILP obj: nan, Percent rel. gap: nan, BDD LB: -22014011077.125, Percent BDD LB gap: -0.000, Num cons: 36, Num BDD layers: 4223
file: easy/instances/neos-1516309/instances/0.lp                  , LP obj:    6922.500, ILP obj: nan, Percent rel. gap: nan, BDD LB:    5571.954, Percent BDD LB gap: 19.510, Num cons: 84, Num BDD layers: 5584
file: easy/instances/tanglegram4/instances/0.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 86, Num BDD layers: 344
file: easy/instances/tanglegram4/instances/1.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 10, Num BDD layers: 40
file: easy/instances/tanglegram4/instances/10.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 46, Num BDD layers: 184
file: easy/instances/tanglegram4/instances/11.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 44, Num BDD layers: 176
file: easy/instances/tanglegram4/instances/12.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 44, Num BDD layers: 176
file: easy/instances/tanglegram4/instances/13.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 48, Num BDD layers: 192
file: easy/instances/tanglegram4/instances/14.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 70, Num BDD layers: 280
file: easy/instances/tanglegram4/instances/15.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 44, Num BDD layers: 176
file: easy/instances/tanglegram4/instances/16.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 54, Num BDD layers: 216
file: easy/instances/tanglegram4/instances/17.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 48, Num BDD layers: 192
file: easy/instances/tanglegram4/instances/18.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 34, Num BDD layers: 136
file: easy/instances/tanglegram4/instances/19.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 48, Num BDD layers: 192
file: easy/instances/tanglegram4/instances/2.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 32, Num BDD layers: 128
file: easy/instances/tanglegram4/instances/20.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 751, Num BDD layers: 3004
file: easy/instances/tanglegram4/instances/21.lp                  , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 44, Num BDD layers: 176
file: easy/instances/tanglegram4/instances/3.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 48, Num BDD layers: 192
file: easy/instances/tanglegram4/instances/4.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 76, Num BDD layers: 304
file: easy/instances/tanglegram4/instances/5.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 44, Num BDD layers: 176
file: easy/instances/tanglegram4/instances/6.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 88, Num BDD layers: 352
file: easy/instances/tanglegram4/instances/7.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 218, Num BDD layers: 872
file: easy/instances/tanglegram4/instances/8.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 44, Num BDD layers: 176
file: easy/instances/tanglegram4/instances/9.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 48, Num BDD layers: 192
file: easy/instances/neos-3555904-turama/instances/0.lp           , LP obj:     -10.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:     -10.000, Percent BDD LB gap: 0.000, Num cons: 10, Num BDD layers: 38
file: easy/instances/neos-3555904-turama/instances/1.lp           , LP obj:    -175.200, ILP obj: nan, Percent rel. gap: nan, BDD LB:    -175.216, Percent BDD LB gap: 0.009, Num cons: 409, Num BDD layers: 2072
